[10/May/2026:19:33:49 +0000] - 502 502 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:34:31 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36" "-"
[10/May/2026:19:34:31 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:34:31 +0000] - 401 401 - POST http stat.soydan.fun "/api/collections/users/auth-refresh" [Client 172.17.0.7] [Length 92] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:32 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/users/auth-methods?fields=mfa%2Cotp%2Cpassword%2Coauth2" [Client 172.17.0.7] [Length 173] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:32 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/first-run" [Client 172.17.0.7] [Length 19] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:41 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:34:41 +0000] - 401 401 - POST http stat.soydan.fun "/api/collections/users/auth-refresh" [Client 172.17.0.7] [Length 92] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:42 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/users/auth-methods?fields=mfa%2Cotp%2Cpassword%2Coauth2" [Client 172.17.0.7] [Length 173] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:34:42 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/first-run" [Client 172.17.0.7] [Length 19] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:08 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:35:08 +0000] - 401 401 - POST http stat.soydan.fun "/api/collections/users/auth-refresh" [Client 172.17.0.7] [Length 92] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:09 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/first-run" [Client 172.17.0.7] [Length 19] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:09 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/users/auth-methods?fields=mfa%2Cotp%2Cpassword%2Coauth2" [Client 172.17.0.7] [Length 173] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:11 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:35:12 +0000] - 401 401 - POST http stat.soydan.fun "/api/collections/users/auth-refresh" [Client 172.17.0.7] [Length 92] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:12 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/first-run" [Client 172.17.0.7] [Length 19] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:12 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/users/auth-methods?fields=mfa%2Cotp%2Cpassword%2Coauth2" [Client 172.17.0.7] [Length 173] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:15 +0000] - 200 200 - POST http stat.soydan.fun "/api/collections/users/auth-with-password" [Client 172.17.0.7] [Length 534] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:16 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/info" [Client 172.17.0.7] [Length 115] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:16 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/systems/records?page=1&perPage=500&skipTotal=1&sort=%2Bname&fields=id%2Cname%2Chost%2Cport%2Cinfo%2Cstatus" [Client 172.17.0.7] [Length 265] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:16 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/user_settings/records?page=1&perPage=1&filter=&skipTotal=1&fields=settings" [Client 172.17.0.7] [Length 129] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:16 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:16 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/alerts/records?page=1&perPage=500&skipTotal=1&fields=id%2Cname%2Csystem%2Cvalue%2Cmin%2Ctriggered&sort=updated" [Client 172.17.0.7] [Length 68] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:16 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:35:19 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/system_details/records/617cutke47es2vf?fields=hostname%2Ckernel%2Ccores%2Cthreads%2Ccpu%2Cos%2Cos_name%2Carch%2Cmemory%2Cpodman" [Client 172.17.0.7] [Length 172] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:35:19 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27617cutke47es2vf%27%20%26%26%20created%20%3E%20%272026-05-10%2018%3A35%3A19%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created" [Client 172.17.0.7] [Length 1413] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:35:19 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27617cutke47es2vf%27%20%26%26%20created%20%3E%20%272026-05-10%2018%3A35%3A19%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created" [Client 172.17.0.7] [Length 3059] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:36:48 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:36:49 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/info" [Client 172.17.0.7] [Length 115] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:36:49 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/user_settings/records?page=1&perPage=1&filter=&skipTotal=1&fields=settings" [Client 172.17.0.7] [Length 129] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:36:49 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/systems/records?page=1&perPage=500&skipTotal=1&sort=%2Bname&fields=id%2Cname%2Chost%2Cport%2Cinfo%2Cstatus" [Client 172.17.0.7] [Length 267] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:36:49 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:36:49 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/alerts/records?page=1&perPage=500&skipTotal=1&fields=id%2Cname%2Csystem%2Cvalue%2Cmin%2Ctriggered&sort=updated" [Client 172.17.0.7] [Length 68] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:36:49 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:30 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:37:30 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/info" [Client 172.17.0.7] [Length 115] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:30 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/systems/records?page=1&perPage=500&skipTotal=1&sort=%2Bname&fields=id%2Cname%2Chost%2Cport%2Cinfo%2Cstatus" [Client 172.17.0.7] [Length 267] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:30 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/user_settings/records?page=1&perPage=1&filter=&skipTotal=1&fields=settings" [Client 172.17.0.7] [Length 129] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:30 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:30 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/alerts/records?page=1&perPage=500&skipTotal=1&fields=id%2Cname%2Csystem%2Cvalue%2Cmin%2Ctriggered&sort=updated" [Client 172.17.0.7] [Length 68] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:30 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:34 +0000] - 200 200 - GET http stat.soydan.fun "/" [Client 172.17.0.7] [Length 728] [Gzip 1.75] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "-"
[10/May/2026:19:37:35 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/systems/records?page=1&perPage=500&skipTotal=1&sort=%2Bname&fields=id%2Cname%2Chost%2Cport%2Cinfo%2Cstatus" [Client 172.17.0.7] [Length 267] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:35 +0000] - 200 200 - GET http stat.soydan.fun "/api/beszel/info" [Client 172.17.0.7] [Length 115] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:35 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/user_settings/records?page=1&perPage=1&filter=&skipTotal=1&fields=settings" [Client 172.17.0.7] [Length 129] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:35 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:35 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/alerts/records?page=1&perPage=500&skipTotal=1&fields=id%2Cname%2Csystem%2Cvalue%2Cmin%2Ctriggered&sort=updated" [Client 172.17.0.7] [Length 68] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:35 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/"
[10/May/2026:19:37:39 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/system_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27617cutke47es2vf%27%20%26%26%20created%20%3E%20%272026-05-10%2018%3A37%3A39%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created" [Client 172.17.0.7] [Length 2128] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:37:39 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/system_details/records/617cutke47es2vf?fields=hostname%2Ckernel%2Ccores%2Cthreads%2Ccpu%2Cos%2Cos_name%2Carch%2Cmemory%2Cpodman" [Client 172.17.0.7] [Length 172] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:37:39 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/container_stats/records?page=1&perPage=500&skipTotal=1&filter=system%3D%27617cutke47es2vf%27%20%26%26%20created%20%3E%20%272026-05-10%2018%3A37%3A39%27%20%26%26%20type%3D%271m%27&fields=created%2Cstats&sort=created" [Client 172.17.0.7] [Length 4693] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:37:59 +0000] - 204 204 - POST http stat.soydan.fun "/api/realtime" [Client 172.17.0.7] [Length 0] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:37:59 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/smart_devices/records?page=1&perPage=500&skipTotal=1&filter=system%20%3D%20%27617cutke47es2vf%27&fields=id%2Csystem%2Cname%2Cmodel%2Cstate%2Ccapacity%2Ctemp%2Ctype%2Chours%2Ccycles%2Cupdated" [Client 172.17.0.7] [Length 68] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
[10/May/2026:19:37:59 +0000] - 200 200 - GET http stat.soydan.fun "/api/collections/containers/records?page=0&perPage=2000&fields=id%2Cname%2Cimage%2Cports%2Ccpu%2Cmemory%2Cnet%2Chealth%2Cstatus%2Csystem%2Cupdated&filter=system%3D%27617cutke47es2vf%27" [Client 172.17.0.7] [Length 3511] [Gzip -] [Sent-to beszel] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0" "https://stat.soydan.fun/system/617cutke47es2vf"
